A A Mamun : professor, nuclear physicist, biochemist
Aaron Pedersen : actres, musical theatre actor, soap opera actor
Aaron Schoenke : fictional scientist, fictional pseudoscientist, short story writer
Aaron Sidwell : musical theatre actress, musical theatre actor, playwright
Aaron Sillis : musical theatre actor, musical theatre actress, dancer
Aaron Simpson : producer, fictional scientist, record producer
Aaron Sloman : cognitive scientist, cyberneticist, artificial intelligence researcher
Aaron Spelling : fictional scientist, autobiographer, actres
Aaron Springer : animator, fictional scientist, producer
Aaron Stanford : actres, producer, fictional scientist
Aaron Staton : musical theatre actor, video game actor, musical theatre actress
Aaron Tveit : musical theatre actor, musical theatre actress, actres
Aaron Webber : playwright, musical theatre actor, producer
Aaron Wildavsky : autobiographer, social sciences writer, political scientist
Aaron Yoo : actres, producer, musical theatre actor
Aart Staartjes : radio actor, novelist, autobiographer
Aarthi (actress) : telugu actor, comedian, film director
Aarthi Aggarwal : telugu actor, film producer, film director
Aarti Chhabria : telugu actor, film director, director
Aarti Puri : telugu actor, director, soap opera actress
Aarudhra : telugu actor, scholar, playwright
Aarya Ambekar : singer, producer, autobiographer
Aaryan Sigdel : producer, comedian, record producer
Aashif Sheikh : film director, telugu actor, film actor
Aashish Chaudhary : soap opera actor, film director, director
Aashka Goradia : telugu actor, soap opera actor, soap opera actress
Aasia : film actor, film actress, television actress
Aasif Mandvi : producer, autobiographer, playwright
Aastha Chaudhary : soap opera actor, telugu actor, director
Aatish Taseer : short story writer, autobiographer, novelist
Aatisha Naik : autobiographer, rapper, memoirist
Aatto Suppanen : autobiographer, novelist, biographer
Ab Osterhaus : medical researcher, virologist, geneticist
Abai Qunanbaiuli : emperor, autobiographer, geographer
Abba P. Lerner : economist, social sciences writer, economic historian
Abbas (actor) : telugu actor, film director, film actor
Abbas Abdi : prime minister, president, autobiographer
Abbas El Gamal : systems scientist, president, entrepreneur
Abbas Fares : actres, musical theatre actor, film director
Abbas Khalaf : founder, autobiographer, prime minister
Abbas Vali : sociologist, translator, prime minister
Abbe Lane : musical theatre actress, musical theatre actor, producer
Abbey DiGregorio : songwriter, autobiographer, record producer
Abbie Cobb : actres, musical theatre actress, fictional scientist
Abbie Cornish : actres, producer, autobiographer
Abbie Hoffman : autobiographer, memoirist, short story writer
Abbie Mitchell : actres, autobiographer, musical theatre actor
Abbo Cernuus : king, autobiographer, biographer
Abbott Payson Usher : art historian, folklorist, science writer
Abby Brammell : musical theatre actor, actres, radio actor
Abby Dalton : radio actor, video game actor, actres
Abby Howe Turner : chemist, pseudoscientist, social sciences writer
Abby Leigh : artist, short story writer, art historian
Abdel Hamid Badawi : prime minister, autobiographer, president
Abdel Nasser Tawfik : nuclear physicist, physicist, theoretical physicist
Abdel Salam Al Nabulsy : comedian, er, president
Abdelhadi Tazi : orientalist, scholar, prime minister
Abdeljelil Temimi : orientalist, art historian, philosopher
Abdellatif Abid : prime minister, president, autobiographer
Abdelmajid Lakhal : autobiographer, stage actress, stage actor
Abderites : orienteer, knight's cross recipient, former world record-holder
Abdi Farah Shirdon : prime minister, president, autobiographer
Abdi Kusow : president, autobiographer, sociologist
Abdisalam Omer : president, prime minister, founder
Abdolonyme Ubicini : memoirist, emperor, cultural anthropologist
Abdul Hafeez Shaikh : prime minister, international relations scholar, founder
Abdul Hai Arifi : scholar, founder, philosopher
Abdul Hameed Adam : scholar, poet, founder
Abdul Hamid Lahori : founder, scholar, orientalist
Abdul Jabbar Junejo : scholar, lexicographer, poet
Abdul Jamil Tajik : president, founder, medical researcher
Abdul Latif Tibawi : orientalist, philosopher, scholar
Abdul Majid (physicist) : nuclear physicist, engineer, physicist
Abdul Majid Daryabadi : scholar, orientalist, philosopher
Abdul Mannan (model) : film actor, telugu actor, comedian
Abdul Matin (poet) : scholar, prime minister, founder
Abdul Qavi Desnavi : scholar, indologist, philologist
Abdul Qayyum (general) : autobiographer, president, founder
Abdul Quayyum Khan Kundi : autobiographer, founder, social sciences writer
Abdul Salis : autobiographer, radio actor, memoirist
Abdul Sattar (diplomat) : prime minister, president, international relations scholar
Abdul-Allah Al-Sadhan : record producer, rapper, producer
Abdul-Monem Al-Mashat : international relations scholar, political scientist, social sciences writer
Abdulaziz Al-Saqqaf : prime minister, president, founder
Abdulhussain Abdulredha : prime minister, scholar, activist
Abdulla Qahhor : short story writer, autobiographer, translator
Abdulla Qodiriy : philologist, translator, short story writer
Abdullah Ejaz : autobiographer, comedian, model
Abdullah Kadwani : television presenter, autobiographer, comedian
Abdullah Omar Nasseef : president, founder, prime minister
Abdullah Sadiq : nuclear physicist, physicist, theoretical physicist
Abdur Razzak (actor) : scholar, film actress, film actor
Abe Espinosa : professional golfer, landscape architect, horticulturists and gardener
Abe Forsythe : musical theatre actor, fictional scientist, short story writer
Abe Fortas : legal scholar, governor, autobiographer
Abe Goldfarb : novelist, short story writer, communication scholar
Abel Aganbegyan : prime minister, autobiographer, inventor
Abel Boyer : autobiographer, memoirist, essayist
Abel Davies : rugby union player, rugby union, sportsman
Abel Herzberg : playwright, composer, hebraist
Abel Ingpen : lepidopterist, entomologist, zoologist
Abel Salazar (actor) : telenovela actress, telenovela actor, television actress
Abel Seyler : dramatist, banker, autobiographer
Abel Tarride : silent film actor, silent film actress, musical theatre actor
Abel Transon : philosopher, sociologist, autobiographer
Abel Woolrich : novelist, actres, film actor
Abella : short story writer, novelist, social sciences writer
Abella Anderson : pornographic film actor, comedian, singer-songwriter
Aberjhani : short story writer, novelist, essayist
Abhay Deol : telugu actor, film director, producer
Abhaya Induruwa : entrepreneur, founder, indologist
Abhi Bhattacharya : film director, telugu actor, autobiographer
Abhijeet Sawant : singer, soap opera actor, producer
Abhimanyu Singh : telugu actor, film director, film actor
Abhinav Shukla : soap opera actor, director, producer
Abhinaya (actress) : telugu actor, film actor, comedian
Abhinayashree : telugu actor, film director, producer
Abhishek Avasthi : soap opera actor, soap opera actress, telugu actor
Abhishek Bachchan : director, telugu actor, film director
Abhishek Chatterjee : director, film director, telugu actor
Abhishek Malik : soap opera actor, soap opera actress, telugu actor
Abhishek Rawat : soap opera actor, telugu actor, producer
Abhisit Vejjajiva : prime minister, president, autobiographer
Abi Phillips : musical theatre actor, actres, musical theatre actress
Abi Titmuss : actres, producer, autobiographer
Abid Ali (actor) : film actress, film actor, scholar
Abid Ali Kazi : prime minister, playwright, scholar
Abid Ali Nazish : prime minister, leader, founder
Abid Kashmiri : film actor, singer, filmmaker
Abid Khan : short story writer, autobiographer, novelist
Abiel Abbot : union army general, theologian, short story writer
Abigail Breslin : actres, producer, novelist
Abigail Clayton : actres, pornographic film actor, novelist
Abigail Hopkins : actres, novelist, songwriter
Abigail Jain : soap opera actor, soap opera actress, director
Abigail Mandana Holmes Christensen : autobiographer, short story writer, social sciences writer
Abigail Spencer : actres, fictional scientist, producer
Abiola Abrams : producer, fictional scientist, autobiographer
Abir Abrar : director, film director, producer
Abir Chatterjee : film director, telugu actor, producer
Abner Biberman : novelist, fictional scientist, voice actor
Abner Genece : short story writer, novelist, autobiographer
Abner J. Mikva : executive office, legal scholar, autobiographer
Abol Hussein Tanhai : sociologist, philosopher, autobiographer
Abolhassan Naeini : president, prime minister, political scientist
Abraham Abell : short story writer, essayist, orientalist
Abraham Abigdor : philosopher, hebraist, theologian
Abraham Adrian Albert : mathematician, systems scientist, physicist
Abraham Bueno de Mesquita : pianist, autobiographer, teacher
Abraham Cahan : short story writer, autobiographer, memoirist
Abraham Erasmus van Wyk : geneticist, botanist, ethnologist
Abraham Fletcher : inventor, pseudoscientist, autobiographer
Abraham Flexner : pseudoscientist, novelist, autobiographer
Abraham Fraenkel : intellectual historian, mathematician, philosopher
Abraham Garrod Thomas : antiquarian, philanthropist, autobiographer
Abraham Goldfaden : autobiographer, memoirist, biographer
Abraham Gottlob Werner : geologist, earth scientist, mineralogist
Abraham Hartwell : geographer, orientalist, short story writer
Abraham Haskel Taub : physicist, cognitive scientist, systems scientist
Abraham Hyacinthe Anquetil-Duperron : orientalist, indologist, scholar
Abraham Lewysohn : rabbi, hebraist, theologian
Abraham Lishinsky : executive office, autobiographer, artist
Abraham M. Halpern : cultural anthropologist, cognitive scientist, social sciences writer
Abraham M. Radcliffe : architect, short story writer, autobiographer
Abraham Manie Adelstein : statistician, autobiographer, medical researcher
Abraham Maslow : cognitive scientist, psychologist, social sciences writer
Abraham Mignon : painter, art historian, autobiographer
Abraham Ortelius : geographer, cartographer, planetary scientist
Abraham Pais : physicist, autobiographer, short story writer
Abraham Ramos : telenovela actor, telenovela actress, television actress
Abraham Robinson : cognitive scientist, philosopher, systems scientist
Abraham Seidenberg : cognitive scientist, national academy, theoretical physicist
Abraham Skorka : philosopher, rabbi, essayist
Abraham Solomonick : cognitive scientist, philosopher, psychologist
Abraham Tesser : cognitive scientist, social sciences writer, psychologist
Abraham Trembley : novelist, pseudoscientist, zoologist
Abraham Usque : philosopher, historian, philologist
Abraham Verghese : autobiographer, short story writer, essayist
Abraham Wheelocke : hebraist, theologian, orientalist
Abraham Yahuda : autobiographer, rabbi, memoirist
Abraham Z. Joffe : biochemist, microbiologist, mycologist
Abram A. Slutskin : inventor, physicist, engineer
Abram Bergson : economist, social sciences writer, economics writer
Abram Chayes : prime minister, autobiographer, social sciences writer
Abram Garfield : architect, executive office, autobiographer
Abram Ioffe : inventor, nuclear physicist, physicist
Abram L. Sachar : rabbi, autobiographer, memoirist
Abram Lincoln Harris : short story writer, autobiographer, memoirist
Abram Penn Staples : lawyer, governor, union army general
Abram Salmon Benenson : medical researcher, president, social sciences writer
Abrar Alvi : film director, telugu actor, autobiographer
Abu Abdallah ibn Askar : orientalist, scholar, founder
Abu Bakr Ibn Al-Qutia : orientalist, king, geographer
Abu Hafsa Yazid : founder, governor, scholar
Abu Mansur Mauhub al-Jawaliqi : scholar, grammarian, orientalist
Abu Muqri Mohammed al-Battiwi : philosopher, scholar, orientalist
Abu'l-Fida : orientalist, scholar, philosopher
Abul Hayat : dramatist, prime minister, playwright
Abul Kalam Azad : prime minister, autobiographer, indologist
Abul Lais Siddiqui : scholar, indologist, philologist
Abul Maal Abdul Muhith : prime minister, president, autobiographer
Aby Warburg : art historian, philosopher, scholar
Abyss (wrestler) : professional wrestler, fictional scientist, autobiographer
Ace Darling : professional wrestler, wrestler, mixed martial artist
Ace Espinosa : comedian, television actress, actress
Ace Vergel : comedian, film actor, television actor
Ace Young : singer-songwriter, record producer, songwriter
Acesias : grammarian, scholar, philosopher
Achala Sachdev : film director, telugu actor, director
Acharya Baldev Upadhyaya : grammarian, telugu actor, astrologer
Acharya Narendra Bhooshan : indologist, scholar, autobiographer
Acharya Nyima Tsering : orientalist, essayist, philosopher
Acharya Ramlochan Saran : autobiographer, biographer, memoirist
Acheson J. Duncan : social sciences writer, economics writer, international relations scholar
Achille Allier : memoirist, autobiographer, horticulturists and gardener
Achille Deyrolle : lepidopterist, zoologist, entomologist
Achille Harlay de Sancy : orientalist, memoirist, geographer
Achille Majeroni : opera singer, screenwriter, novelist
Achille Raffray : entomologist, zoologist, naturalist
Achille Urbain : art historian, archaeologist, naturalist
Achim Moeller : art historian, artist, intellectual historian
Achim Richter : physicist, physical chemist, nuclear physicist
Achint Kaur : telugu actor, soap opera actor, soap opera actress
Acholius : emperor, philosopher, saint
Achyuth : telugu actor, producer, film director
Acquanetta : short story writer, actres, novelist
Acrion : lexicographer, grammarian, linguist
Actors in Noh Matta Wat! : autobiographer, producer, short story writer
Acyutananda : indologist, philosopher, orientalist
Ad-Rock : record producer, singer-songwriter, songwriter
Ada Adler : art historian, philosopher, philologist
Ada Cavendish : novelist, stage actress, playwright
Ada Clare : novelist, short story writer, autobiographer
Ada Dondini : screenwriter, novelist, film actor
Ada Lovelace : fictional scientist, autobiographer, novelist
Ada Maddison : short story writer, economist, philosopher
Ada Maris : musical theatre actor, actres, musical theatre actress
Ada Rogovtseva : musical theatre actress, musical theatre actor, stage actress
Ada Vojtsik : voice actor, film actress, autobiographer
Ada Ward : autobiographer, biographer, memoirist
Adah Isaacs Menken : autobiographer, short story writer, novelist
Adah Sharma : telugu actor, soap opera actor, producer
Adair Tishler : actres, producer, singer-songwriter
Adalbert Krieger Vasena : president, autobiographer, admiral
Adalbert Ricken : mycologist, botanist, naturalist
Adam Afzelius : physician, botanists active, naturalist
Adam Alexi-Malle : musical theatre actor, autobiographer, producer
Adam Anderson (physicist) : pseudoscientist, autobiographer, geographer
Adam Arkin : actres, producer, video game actor
Adam Bahdaj : essayist, translator, short story writer
Adam Baldwin : fictional scientist, video game actor, producer
Adam Beach : short story writer, autobiographer, fictional scientist
Adam Berinsky : essayist, international relations scholar, communication scholar
Adam Birch : professional wrestler, martial artist, mixed martial artist
Adam Blackwood (actor) : novelist, short story writer, autobiographer
Adam Bond : autobiographer, memoirist, biographer
Adam Brodzisz : silent film actor, silent film actress, musical theatre actor
Adam Buddle : diarist, clergyman, autobiographer
Adam Busch : actres, fictional scientist, producer
Adam Campbell (actor) : actres, fictional scientist, producer
Adam Carolla : television personality, comedian, director
Adam Chanler-Berat : musical theatre actor, actres, musical theatre actress
Adam Christian Thebesius : anatomist, physician, physiologist
Adam Cole : professional wrestler, martial artist, mixed martial artist
Adam Danielewicz : statistician, sociologist, linguist
Adam DeVine : fictional scientist, producer, actres
Adam Deacon : rapper, fictional scientist, actres
Adam Deibert : record producer, singer-songwriter, rapper
Adam Driver : short story writer, playwright, actres
Adam Ferency : essayist, musical theatre actor, producer
Adam Fergus : musical theatre actor, fictional pseudoscientist, voice actor
Adam Flash : professional wrestler, martial artist, wrestler
Adam Fogerty : autobiographer, record producer, songwriter
Adam Gillen : actres, musical theatre actor, comedian
Adam Godley : musical theatre actor, musical theatre actress, actres
Adam Goldberg : fictional scientist, producer, record producer
Adam Gregory (actor) : video game actor, actres, songwriter
Adam Grimes : video game actor, fictional scientist, producer
Adam Gruca : surgeon, physician, army officer
Adam Hann-Byrd : actres, producer, autobiographer
Adam Hendershott : actres, producer, fictional scientist
Adam Herschman : producer, singer-songwriter, fictional scientist
Adam Hollander : actres, record producer, short story writer
Adam Howden : radio actor, video game actor, fictional scientist
Adam Ingram (SNP politician) : prime minister, leader, trotskyist
Adam Irigoyen : record producer, actres, producer
Adam J. Harrington : fictional scientist, actres, producer
Adam Jack Aitken : autobiographer, biographer, novelist
Adam Jamal Craig : video game actor, actres, musical theatre actor
Adam James (actor) : radio actor, musical theatre actor, autobiographer
Adam Jeffries : video game actor, actres, fictional scientist
Adam Jezierski : telenovela actor, telenovela actress, film actor
Adam Joinson : cognitive scientist, psychologist, communication scholar
Adam Jones (musician) : guitarist, songwriter, fictional scientist
Adam Kaufman (actor) : actres, fictional scientist, short story writer
Adam Kendrick : producer, fictional scientist, actres
Adam Kersten : translator, noble, geographer
Adam Killian : fictional scientist, musical theatre actor, songwriter
Adam Kolkin : television director, television writer, video game actor
Adam LaVorgna : essayist, autobiographer, short story writer
Adam Lamberg : video game actor, musical theatre actress, actres
Adam Lambert : songwriter, record producer, singer-songwriter
Adam LeFevre : short story writer, actres, playwright
Adam Levine : record producer, songwriter, producer
Adam Little : producer, novelist, army officer
Adam Minarovich : video game actor, short story writer, actres
Adam Neal Smith : producer, musical theatre actor, songwriter
Adam Opalski : neurologist, neuroscientist, biochemist
Adam Pawlikowski : stage actress, stage actor, film actor
Adam Possamai : social sciences writer, sociologist, intellectual historian
Adam Reed : fictional scientist, fictional pseudoscientist, video game actor
Adam Rickitt : record producer, musical theatre actor, autobiographer
Adam Ries : autobiographer, short story writer, memoirist
Adam Rothenberg : actres, playwright, musical theatre actor
Adam S. Veige : physical chemist, chemist, biochemist
Adam Sandler : producer, actres, fictional scientist
Adam Scott (actor) : fictional scientist, actres, producer
Adam Searles : musical theatre actor, musical theatre actress, producer
Adam Sedgwick : autobiographer, biographer, memoirist
Adam Shankman : producer, actres, musical theatre actor
Adam Shortt : memoirist, autobiographer, economic historian
Adam Sinclair (actor) : radio actress, musical theatre actor, playwright
Adam Smith : autobiographer, memoirist, biographer
Adam Sopp : video game actor, radio actor, soap opera actor
Adam Spencer : short story writer, autobiographer, television presenter
Adam Springfield : video game actor, television, film
Adam Stark : antiquarian, landscape or garden designer, autobiographer
Adam Stephen : union army general, army general, army officer
Adam Tanner (mathematician) : theologian, astrologer, pseudoscientist
Adam Tedder : playwright, songwriter, musical theatre actor
Adam Thomas : soap opera actress, soap opera actor, musical theatre actor
Adam Tomkins : social sciences writer, autobiographer, memoirist
Adam Tooze : economic historian, sociologist, economics writer
Adam Tuominen : short story writer, fictional scientist, autobiographer
Adam Ulam : autobiographer, memoirist, essayist
Adam Vetulani : art historian, autobiographer, historian
Adam Wade (singer) : record producer, songwriter, singer-songwriter
Adam Watson (scientist) : autobiographer, ecologist, biographer
Adam West : fictional scientist, video game actor, producer
Adam White (zoologist) : paleontologist, zoologist, ecologist
Adam Williams (actor) : short story writer, radio actor, autobiographer
Adam Willits : musical theatre actress, soap opera actress, musical theatre actor
Adam Winkler : autobiographer, memoirist, short story writer
Adam Woodyatt : autobiographer, musical theatre actress, soap opera actor
Adamae Vaughn : actres, musical theatre actress, novelist
Adamantios Sampson : archaeologist, anthropologist, geographer
Adamo Ruggiero : actres, comedian, record producer
Adamos Adamou : president, neuroscientist, medical researcher
Adda Gleason : short story writer, actres, filmmaker
Addie McPhail : silent film actress, actres, autobiographer
Addison Brown : autobiographer, explorer, biographer
Addison Emery Verrill : national academy, zoologist, paleontologist
Addison Timlin : actres, fictional scientist, video game actor
Additi Gupta : soap opera actor, telugu actor, soap opera actress
Ade (actor) : musical theatre actor, radio actor, comedian
Adeeb : scholar, film actor, film actress
Adeel Akhtar : director, autobiographer, playwright
Adeel Hashmi : producer, founder, comedian
Adel Adham : comedian, actres, actress
Adel Smith : essayist, autobiographer, memoirist
Adelaide Ames : astronomer, national academy, pseudoscientist
Adelaide Bishop : opera singer, conductor, musical theatre actor
Adelaide Clemens : actres, novelist, short story writer
Adelaide Kemble : essayist, biographer, autobiographer
Adelaide Phillipps : opera singer, actres, musical theatre actor
Adelayo Adedayo : actres, voice actress, actress
Adelbert Ford (psychologist) : psychologist, cultural anthropologist, evolutionary biologist
Adelbert Van de Walle : art historian, horticulturists and gardener, architect
Adele Blood : autobiographer, short story writer, memoirist
Adele Farrington : actres, silent film actor, producer
Adele Goldberg (computer scientist) : systems scientist, cognitive scientist, communication scholar
Adele Goodman Clark : short story writer, autobiographer, memoirist
Adele Mara : actres, producer, director
Adele Sandrock : silent film actor, silent film actress, playwright
Adele Silva : actres, soap opera actress, musical theatre actor
Adele Wong : producer, filmmaker, short story writer
Adelheid Seeck : actres, fictional scientist, silent film actress
Adeline Hayden Coffin : short story writer, autobiographer, novelist
Adeline Pond Adams : educator, short story writer, playwright
Adelino Fontoura : biographer, playwright, philologist
Adelle August : actres, short story writer, autobiographer
Adelqui Migliar : film producer, silent film actress, playwright
Aden Meinel : national academy, astronomer, physicist
Aden Young : autobiographer, short story writer, novelist
Adetomiwa Edun : playwright, radio actor, actres
Adewale Akinnuoye-Agbaje : fictional scientist, record producer, video game actor
Adeyto : actres, voice actress, producer
Adhyayan Suman : telugu actor, film director, soap opera actor
Adi Ashkenazi : comedian, leader, musical theatre actress
Adi Bielski : playwright, musical theatre actress, musical theatre actor
Adie Allen : radio actress, radio actor, soap opera actress
Adiele Afigbo : essayist, novelist, autobiographer
Adil Hussain : producer, film director, filmmaker
Adil Murad : film actor, film actress, film director
Adil Shamoo : social sciences writer, president, international relations scholar
Adina Emilia De Zavala : executive office, autobiographer, essayist
Adina Porter : actres, fictional scientist, producer
Adinia Wirasti : orienteer, knight's cross recipient, former world record-holder
Adipati Koesmadji : comedian, television presenter, television personality
Adir Miller : musical theatre actor, musical theatre actress, playwright
Adira : singer, songwriter, actress
Adith Arun : telugu actor, film director, film producer
Aditi Gowitrikar : producer, television actress, actress
Aditi Rao Hydari : telugu actor, film director, film actor
Aditi Sarangdhar : telugu actor, soap opera actor, director
Aditi Shankardass : autobiographer, biographer, founder
Aditi Sharma : telugu actor, film director, director
Aditya Lakhia : telugu actor, soap opera actor, film director
Aditya Om : telugu actor, film director, director
Aditya Pancholi : telugu actor, film director, film actor
Aditya Redij : soap opera actor, telugu actor, soap opera actress
Aditya Roy Kapur : telugu actor, director, film director
Aditya Shrivastava : telugu actor, soap opera actor, film director
Adjutor Rivard : orientalist, cultural anthropologist, sociologist
Adly Kasseb : autobiographer, memoirist, short story writer
Adnan Oktar : autobiographer, memoirist, biographer
Adnan Siddiqui : telugu actor, film actress, television actress
Adnen Helali : autobiographer, playwright, memoirist
Adolf A. Berle : founder, political scientist, social sciences writer
Adolf Abicht : physician, intellectual historian, cultural anthropologist
